window,lat_deg,lon_deg,plane_hae_m,peak_depth_m,peak_hae_m,peak_value
0,29.98200098,31.13456252,73.308,32.500,40.808,0.0288923
1,29.98182174,31.13430260,73.305,37.700,35.605,0.0287288
2,29.98164249,31.13404268,73.301,37.700,35.601,0.00431413
3,29.98146325,31.13378276,73.297,31.200,42.097,0.0050039
5,29.98110476,31.13326292,73.291,2.600,70.691,0.00330786
6,29.98092552,31.13300300,73.288,6.500,66.788,0.00696008
9,29.98038778,31.13222325,73.280,15.600,57.680,0.0055645
10,29.98020854,31.13196333,73.278,37.700,35.578,0.00955386
11,29.98002929,31.13170342,73.275,15.600,57.675,0.00912479
12,29.97985004,31.13144351,73.273,16.900,56.373,0.00828425
13,29.97967079,31.13118359,73.271,37.700,35.571,0.0542478
14,29.97949154,31.13092368,73.270,37.700,35.570,0.0342877
15,29.98177470,31.13476841,73.307,32.500,40.807,0.0585331
16,29.98159546,31.13450849,73.303,9.100,64.203,0.0441341
17,29.98141621,31.13424857,73.299,1.300,71.999,0.00446544
18,29.98123697,31.13398865,73.296,16.900,56.396,0.0057892
19,29.98105773,31.13372873,73.292,36.400,36.892,0.00175339
21,29.98069924,31.13320889,73.286,37.700,35.586,0.00391827
22,29.98052000,31.13294897,73.283,37.700,35.583,0.00516468
24,29.98016151,31.13242914,73.278,37.700,35.578,0.0101315
25,29.97998226,31.13216923,73.276,33.800,39.476,0.00859844
26,29.97980301,31.13190931,73.273,37.700,35.573,0.0084172
27,29.97962377,31.13164940,73.271,35.100,38.171,0.00852687
28,29.97944452,31.13138949,73.270,37.700,35.570,0.0249851
29,29.97926527,31.13112958,73.268,37.700,35.568,0.025321
30,29.98154842,31.13497431,73.305,32.500,40.805,0.0347241
31,29.98136918,31.13471438,73.301,32.500,40.801,0.0299579
32,29.98118994,31.13445446,73.298,22.100,51.198,0.00793301
33,29.98101069,31.13419454,73.294,37.700,35.594,0.00563839
34,29.98083145,31.13393462,73.291,37.700,35.591,0.00498648
35,29.98065221,31.13367470,73.288,24.700,48.588,0.0059764
36,29.98047296,31.13341478,73.284,29.900,43.384,0.00834722
37,29.98029372,31.13315487,73.282,32.500,40.782,0.00739838
38,29.98011447,31.13289495,73.279,37.700,35.579,0.00248473
39,29.97993523,31.13263503,73.276,14.300,58.976,0.0069266
40,29.97975598,31.13237512,73.274,16.900,56.374,0.0130545
41,29.97957674,31.13211521,73.272,16.900,56.372,0.0118061
42,29.97939749,31.13185529,73.270,32.500,40.770,0.00832254
43,29.97921824,31.13159538,73.268,35.100,38.168,0.0181059
44,29.97903900,31.13133547,73.266,35.100,38.166,0.0218164
45,29.98132214,31.13518019,73.304,6.500,66.804,0.00926183
46,29.98114290,31.13492027,73.300,6.500,66.800,0.00912176
47,29.98096366,31.13466035,73.296,33.800,39.496,0.00175034
48,29.98078441,31.13440043,73.293,37.700,35.593,0.00726379
49,29.98060517,31.13414051,73.289,15.600,57.689,0.00710027
50,29.98042593,31.13388059,73.286,16.900,56.386,0.0120055
51,29.98024669,31.13362067,73.283,7.800,65.483,0.00781557
52,29.98006744,31.13336076,73.280,9.100,64.180,0.00876773
53,29.97988820,31.13310084,73.277,18.200,55.077,0.00787414
54,29.97970895,31.13284093,73.275,36.400,36.875,0.00175339
55,29.97952971,31.13258101,73.273,32.500,40.773,0.0118736
56,29.97935046,31.13232110,73.270,32.500,40.770,0.0204418
57,29.97917121,31.13206119,73.268,32.500,40.768,0.0109924
58,29.97899197,31.13180127,73.266,2.600,70.666,0.0220081
59,29.97881272,31.13154136,73.265,9.100,64.165,0.0244467
62,29.98073738,31.13486624,73.295,37.700,35.595,0.00450324
63,29.98055813,31.13460632,73.291,32.500,40.791,0.00687824
64,29.98037889,31.13434640,73.288,9.100,64.188,0.0112084
65,29.98019965,31.13408648,73.285,3.900,69.385,0.00979972
66,29.98002041,31.13382656,73.282,3.900,69.382,0.00864214
67,29.97984116,31.13356665,73.279,32.500,40.779,0.00966306
68,29.97966192,31.13330673,73.276,37.700,35.576,0.0166407
69,29.97948268,31.13304682,73.274,3.900,69.374,0.0054893
70,29.97930343,31.13278690,73.271,37.700,35.571,0.00795676
71,29.97912418,31.13252699,73.269,9.100,64.169,0.0121089
72,29.97894494,31.13226708,73.267,24.700,48.567,0.0129235
73,29.97876569,31.13200717,73.265,9.100,64.165,0.0235319
74,29.97858645,31.13174726,73.263,9.100,64.163,0.020089
75,29.98086958,31.13559197,73.301,37.700,35.601,0.0142319
76,29.98069034,31.13533205,73.297,37.700,35.597,0.0142319
77,29.98051110,31.13507213,73.294,11.700,61.594,0.00690889
78,29.98033185,31.13481221,73.290,20.800,52.490,0.00793863
79,29.98015261,31.13455229,73.287,9.100,64.187,0.00977768
80,29.97997337,31.13429237,73.284,37.700,35.584,0.00802163
81,29.97979413,31.13403245,73.281,20.800,52.481,0.00461001
82,29.97961489,31.13377254,73.278,14.300,58.978,0.00754179
83,29.97943564,31.13351262,73.275,6.500,66.775,0.0140828
84,29.97925640,31.13325271,73.272,37.700,35.572,0.0121502
85,29.97907715,31.13299279,73.270,36.400,36.870,0.00175339
86,29.97889791,31.13273288,73.268,6.500,66.768,0.00870566
87,29.97871866,31.13247297,73.266,15.600,57.666,0.012719
88,29.97853942,31.13221306,73.264,37.700,35.564,0.0398469
89,29.97836017,31.13195315,73.262,37.700,35.562,0.04616
90,29.98064329,31.13579786,73.300,16.900,56.400,0.0215737
91,29.98046405,31.13553794,73.296,32.500,40.796,0.022528
92,29.98028481,31.13527801,73.293,10.400,62.893,0.00598858
93,29.98010557,31.13501809,73.289,35.100,38.189,0.00689503
94,29.97992633,31.13475818,73.286,9.100,64.186,0.00720225
95,29.97974709,31.13449826,73.283,37.700,35.583,0.0085465
96,29.97956785,31.13423834,73.279,15.600,57.679,0.0044262
97,29.97938861,31.13397842,73.277,37.700,35.577,0.0056938
98,29.97920936,31.13371851,73.274,1.300,71.974,0.00965395
99,29.97903012,31.13345859,73.271,37.700,35.571,0.0245723
100,29.97885088,31.13319868,73.269,16.900,56.369,0.0102387
102,29.97849239,31.13267886,73.265,32.500,40.765,0.0133174
103,29.97831314,31.13241895,73.263,37.700,35.563,0.0322227
104,29.97813389,31.13215904,73.261,37.700,35.561,0.0529943
105,29.98041701,31.13600374,73.299,32.500,40.799,0.0281825
106,29.98023777,31.13574382,73.295,32.500,40.795,0.0205818
107,29.98005853,31.13548390,73.292,18.200,55.092,0.00506579
108,29.97987929,31.13522398,73.288,37.700,35.588,0.010952
109,29.97970005,31.13496406,73.285,26.000,47.285,0.0068237
110,29.97952081,31.13470414,73.282,13.000,60.282,0.0066688
111,29.97934157,31.13444423,73.279,23.400,49.879,0.00760541
112,29.97916233,31.13418431,73.276,24.700,48.576,0.00309711
113,29.97898308,31.13392440,73.273,14.300,58.973,0.00577918
114,29.97880384,31.13366448,73.271,37.700,35.571,0.0103496
115,29.97862460,31.13340457,73.268,37.700,35.568,0.00288363
118,29.97808686,31.13262483,73.262,37.700,35.562,0.0869896
