# raw tracked shifts, before detrend or spectrum
# reference=pair b_shift_hz=0.00461682517013 pair_lag_s=0.128393034271 dt_s=0.128393034271 looks=128
window,look,centre_time_s,disp_az_px,disp_rg_px,vel_los_ms,disp_los_m,phase_rad,quality
0,0,1.50103843e-09,0,0,0,-5.39166649e-07,-0.000309042344,0.998991
0,1,0.128393036,0,0,0,-1.33326962e-06,5.20573147e-07,0.998991
0,2,0.25678607,0,0,0,-1.88594859e-06,0.000215969852,0.998991
0,3,0.385179104,0,0,0,-2.0758057e-06,0.000289981313,0.998991
0,4,0.513572139,0,0,0,-1.87711768e-06,0.000212527326,0.998991
0,5,0.641965173,0,0,0,-1.95042822e-06,0.000241105766,0.998991
0,6,0.770358207,0,0,0,-2.64304899e-06,0.000511108165,0.998991
0,7,0.898751241,0,0,0,-3.25485862e-06,0.000749608181,0.998991
0,8,1.02714428,0,0,0,-4.05269943e-06,0.00106062821,0.998991
0,9,1.15553731,0,0,0,-4.84284733e-06,0.00136864934,0.998991
0,10,1.28393034,0,0,0,-5.21465963e-06,0.00151359187,0.998991
0,11,1.41232338,0,0,0,-5.21691682e-06,0.00151447179,0.998991
0,12,1.54071641,0,0,0,-5.10082472e-06,0.00146921593,0.998991
0,13,1.66910945,0,0,0,-4.56818568e-06,0.00126157876,0.998991
0,14,1.79750248,0,0,0,-4.07883461e-06,0.00107081642,0.998991
0,15,1.92589552,0,0,0,-4.57439235e-06,0.00126399829,0.998991
0,16,2.05428855,0,0,0,-5.11124173e-06,0.00147327676,0.998991
0,17,2.18268158,0,0,0,-5.24316817e-06,0.00152470528,0.998991
0,18,2.31107462,0,0,0,-5.04770015e-06,0.00144850653,0.998991
0,19,2.43946765,0,0,0,-4.29828371e-06,0.00115636364,0.998991
0,20,2.56786069,0,0,0,-3.17895297e-06,0.000720018097,0.998991
0,21,2.69625372,0,0,0,-2.64790554e-06,0.000513001379,0.998991
0,22,2.82464676,0,0,0,-2.1840102e-06,0.000332162368,0.998991
0,23,2.95303979,0,0,0,-1.38651481e-06,2.12769943e-05,0.998991
0,24,3.08143282,0,0,0,-2.88332932e-07,-0.000406824143,0.998991
0,25,3.20982586,0,0,0,6.051234e-07,-0.0007551177,0.998991
0,26,3.33821889,0,0,0,1.21173071e-06,-0.000991589713,0.998991
0,27,3.46661193,0,0,0,1.93553481e-06,-0.00127374822,0.998991
0,28,3.59500496,0,0,0,2.68034368e-06,-0.00156409496,0.998991
0,29,3.723398,0,0,0,3.71586949e-06,-0.00196777106,0.998991
0,30,3.85179103,0,0,0,5.13289993e-06,-0.00252016803,0.998991
0,31,3.98018406,0,0,0,6.60045745e-06,-0.00309226183,0.998991
0,32,4.1085771,0,0,0,7.42088733e-06,-0.00341208769,0.998991
0,33,4.23697013,0,0,0,8.17828549e-06,-0.00370734208,0.998991
0,34,4.36536317,0,0,0,8.87009536e-06,-0.00397702836,0.998991
0,35,4.4937562,0,0,0,8.96709868e-06,-0.00401484289,0.998991
0,36,4.62214924,0,0,0,9.2237047e-06,-0.00411487489,0.998991
0,37,4.75054227,0,0,0,9.74420828e-06,-0.00431778133,0.998991
0,38,4.8789353,0,0,0,1.01625788e-05,-0.00448087352,0.998991
0,39,5.00732834,0,0,0,1.04141602e-05,-0.00457894679,0.998991
0,40,5.13572137,0,0,0,1.03867415e-05,-0.00456825823,0.998991
0,41,5.26411441,0,0,0,9.30449173e-06,-0.00414636787,0.998991
0,42,5.39250744,0,0,0,8.09900556e-06,-0.00367643661,0.998991
0,43,5.52090048,0,0,0,7.11915378e-06,-0.00329446375,0.998991
0,44,5.64929351,0,0,0,6.18123084e-06,-0.00292883591,0.998991
0,45,5.77768654,0,0,0,4.8382453e-06,-0.00240530365,0.998991
