# raw tracked shifts, before detrend or spectrum
# reference=first b_shift_hz=0 pair_lag_s=0 dt_s=0.144795668605 looks=128
window,look,centre_time_s,disp_az_px,disp_rg_px,vel_los_ms,disp_los_m,phase_rad,quality
0,0,1.50103843e-09,0,0,0,0.000588976646,-0.229599102,0.589489
0,1,0.14479567,0,0,-0.00520581575,-0.000164802926,0.0642446588,0.589489
0,2,0.289591339,0,0,-0.0282899912,-0.00426107112,1.66108131,0.589489
0,3,0.434387007,0,0,0.0350094006,0.000808138441,-0.315034325,0.589489
0,4,0.579182676,0,0,-0.0304274139,-0.0035976193,1.40244976,0.589489
0,5,0.723978345,0,0,-0.00391692118,-0.00416477252,1.6235415,0.589489
0,6,0.868774013,0,0,0.0326828046,0.000567556026,-0.221248762,0.589489
0,7,1.01356968,0,0,0.00694202197,0.00157273074,-0.613093179,0.589489
0,8,1.15836535,0,0,-0.00697630545,0.000562591927,-0.219313621,0.589489
0,9,1.30316102,0,0,-0.0303280453,-0.00382877766,1.49256158,0.589489
0,10,1.44795669,0,0,0.0330253663,0.000953152332,-0.37156468,0.589489
0,11,1.59275236,0,0,-0.0306142139,-0.00347965324,1.35646339,0.589489
0,12,1.73754802,0,0,0.0184471464,-0.000808586347,0.315208931,0.589489
0,13,1.88234369,0,0,-0.00178318267,-0.00106678347,0.415861187,0.589489
0,14,2.02713936,0,0,-0.016928122,-0.00351790222,1.37137388,0.589489
0,15,2.17193503,0,0,0.0244690428,2.51091912e-05,-0.00978824507,0.589489
0,16,2.3167307,0,0,-0.0315980206,-0.00455014733,1.77377107,0.589489
0,17,2.46152637,0,0,0.0160516471,-0.00222593836,0.86773126,0.589489
0,18,2.60632204,0,0,0.0206129592,0.000758728845,-0.295773121,0.589489
0,19,2.7511177,0,0,0.000184068895,0.000785381223,-0.306162943,0.589489
0,20,2.89591337,0,0,-0.000975001545,0.000644205223,-0.251128702,0.589489
0,21,3.04070904,0,0,-0.0414100847,-0.00535179568,2.08627539,0.589489
0,22,3.18550471,0,0,0.0129071137,-0.00348290152,1.35772966,0.589489
0,23,3.33030038,0,0,0.0282437173,0.000606666407,-0.236495051,0.589489
0,24,3.47509605,0,0,-0.0124965948,-0.00120278639,0.46887882,0.589489
0,25,3.61989172,0,0,0.0198049302,0.00166488171,-0.649016134,0.589489
0,26,3.76468739,0,0,-0.024319551,-0.00185648393,0.723707883,0.589489
0,27,3.90948305,0,0,-0.0174579853,-0.00438432458,1.70912886,0.589489
0,28,4.05427872,0,0,0.0376174424,0.00106251815,-0.414198449,0.589489
0,29,4.19907439,0,0,-0.0377871338,-0.00440889516,1.71870714,0.589489
0,30,4.34387006,0,0,0.0422358743,0.0017066765,-0.665308879,0.589489
0,31,4.48866573,0,0,-0.00982053608,0.000284705417,-0.110985908,0.589489
0,32,4.6334614,0,0,0.0015008204,0.00050201771,-0.195700145,0.589489
0,33,4.77825707,0,0,0.000484204289,0.000572128394,-0.223031195,0.589489
0,34,4.92305273,0,0,-7.63985322e-05,0.000561066217,-0.218718858,0.589489
0,35,5.0678484,0,0,0.00115415973,0.000728183547,-0.283865735,0.589489
0,36,5.21264407,0,0,-0.0414707857,-0.00527660659,2.05696464,0.589489
0,37,5.35743974,0,0,0.0408600088,0.000639745703,-0.249390259,0.589489
0,38,5.50223541,0,0,0.00129330381,0.000827010493,-0.322391163,0.589489
0,39,5.64703108,0,0,-0.0366756439,-0.00448346389,1.74777606,0.589489
0,40,5.79182675,0,0,0.0372955828,0.000916774958,-0.357383791,0.589489
0,41,5.93662241,0,0,-0.00153967109,0.000693837252,-0.270476615,0.589489
0,42,6.08141808,0,0,-0.0290973911,-0.00351933895,1.37193396,0.589489
0,43,6.22621375,0,0,0.0305586921,0.0009054273,-0.352960166,0.589489
0,44,6.37100942,0,0,0.000296200254,0.000948315814,-0.369679274,0.589489
0,45,6.51580509,0,0,-0.000624372855,0.000857909329,-0.334436369,0.589489
0,46,6.66060076,0,0,-0.000155336575,0.000835417266,-0.325668352,0.589489
0,47,6.80539643,0,0,0.00203098651,0.00112949532,-0.440307967,0.589489
0,48,6.95019209,0,0,0.0027019853,0.00152073108,-0.592822301,0.589489
0,49,7.09498776,0,0,-0.0379097607,-0.00396843806,1.54700499,0.589489
0,50,7.23978343,0,0,0.000925579874,-0.0038344181,1.49476037,0.589489
0,51,7.3845791,0,0,0.000905125538,-0.00370335984,1.4436703,0.589489
0,52,7.52937477,0,0,0.0285880177,0.000436061301,-0.169988545,0.589489
0,53,7.67417044,0,0,-0.00161782827,0.000201806775,-0.078669765,0.589489
0,54,7.81896611,0,0,-0.00186864634,-6.87651209e-05,0.0268065128,0.589489
0,55,7.96376177,0,0,0.00694631588,0.000937031331,-0.365280276,0.589489
